iter	Passed	Remaining
0	16	8442
1	31	7862
2	46	7630
3	61	7575
4	76	7529
5	101	8386
6	123	8729
7	145	8919
8	164	8969
9	192	9446
10	215	9579
11	236	9603
12	265	9947
13	284	9877
14	307	9952
15	330	9994
16	353	10048
17	375	10049
18	397	10050
19	419	10060
20	439	10029
21	462	10039
22	482	9998
23	502	9960
24	522	9929
25	543	9917
26	563	9867
27	583	9833
28	603	9796
29	621	9743
30	640	9694
31	660	9663
32	679	9617
33	699	9585
34	718	9543
35	737	9510
36	757	9478
37	776	9442
38	796	9415
39	815	9374
40	834	9345
41	855	9324
42	874	9294
43	895	9276
44	915	9258
45	936	9245
46	958	9235
47	978	9209
48	1000	9207
49	1021	9196
50	1043	9187
51	1063	9163
52	1084	9145
53	1108	9154
54	1133	9174
55	1158	9186
56	1181	9185
57	1210	9228
58	1234	9224
59	1261	9248
60	1287	9263
61	1312	9275
62	1340	9298
63	1366	9306
64	1389	9298
65	1427	9387
66	1450	9376
67	1473	9358
68	1500	9372
69	1523	9356
70	1547	9350
71	1568	9325
72	1590	9301
73	1613	9287
74	1637	9280
75	1673	9338
76	1698	9331
77	1718	9298
78	1739	9267
79	1759	9235
80	1778	9199
81	1801	9181
82	1822	9155
83	1847	9149
84	1872	9140
85	1896	9130
86	1918	9106
87	1940	9087
88	1965	9078
89	1996	9096
90	2016	9061
91	2037	9036
92	2059	9012
93	2081	8989
94	2103	8968
95	2125	8944
96	2146	8918
97	2167	8890
98	2190	8870
99	2210	8842
100	2232	8818
101	2253	8793
102	2276	8775
103	2298	8750
104	2320	8731
105	2344	8713
106	2368	8700
107	2392	8685
108	2416	8667
109	2438	8646
110	2459	8618
111	2481	8597
112	2502	8570
113	2527	8556
114	2548	8532
115	2570	8508
116	2593	8488
117	2617	8473
118	2640	8453
119	2662	8430
120	2685	8410
121	2706	8385
122	2729	8365
123	2752	8346
124	2774	8324
125	2797	8305
126	2819	8279
127	2841	8257
128	2864	8238
129	2887	8217
130	2910	8198
131	2935	8183
132	2958	8162
133	2984	8150
134	3006	8129
135	3029	8109
136	3051	8084
137	3074	8064
138	3098	8047
139	3120	8023
140	3146	8010
141	3170	7993
142	3193	7973
143	3218	7956
144	3245	7946
145	3272	7935
